the	/ðə/
be	/bi/
and	/ænd/
of	/ʌv/
a	/eɪ/
in	/ɪn/
to	/tu/
have	/hæv/
it	/ɪt/
i	/aɪ/
that	/ðæt/
for	/fɔr/
you	/ju/
he	/hi/
with	/wɪθ/
on	/ɑn/
do	/du/
say	/seɪ/
this	/ðɪs/
they	/ðeɪ/
at	/æt/
but	/bʌt/
we	/wi/
his	/hɪz/
from	/frʌm/
not	/nɑt/
by	/baɪ/
she	/ʃi/
or	/ɔr/
as	/æz/
what	/wʌt/
go	/ɡoʊ/
their	/ðɛr/
can	/kæn/
who	/hu/
get	/ɡɛt/
if	/ɪf/
would	/wʊd/
her	/hɜr/
all	/ɔl/
my	/maɪ/
make	/meɪk/
about	/əˈbaʊt/
know	/noʊ/
will	/wɪl/
up	/ʌp/
one	/wʌn/
time	/taɪm/
there	/ðɛr/
year	/jɪr/
so	/soʊ/
think	/θɪŋk/
when	/wɛn/
which	/wɪtʃ/
them	/ðɛm/
some	/sʌm/
me	/mi/
people	/ˈpipl/
take	/teɪk/
out	/aʊt/
into	/ˈɪntu/
just	/dʒʌst/
see	/si/
him	/hɪm/
your	/jʊr/
come	/kʌm/
could	/kʊd/
now	/naʊ/
than	/ðæn/
like	/laɪk/
other	/ˈʌðər/
how	/haʊ/
then	/ðɛn/
its	/ɪts/
our	/ˈaʊər/
two	/tu/
more	/mɔr/
these	/ðiz/
want	/wɑnt/
way	/weɪ/
look	/lʊk/
first	/fɜrst/
also	/ˈɔlsoʊ/
new	/nu/
because	/bɪˈkɔz/
day	/deɪ/
use	/juz/
no	/noʊ/
man	/mæn/
find	/faɪnd/
here	/hɪr/
thing	/θɪŋ/
give	/ɡɪv/
many	/ˈmɛni/
well	/wɛl/
only	/ˈoʊnli/
those	/ðoʊz/
tell	/tɛl/
very	/ˈvɛri/
even	/ˈivən/
back	/bæk/
any	/ˈɛni/
good	/ɡʊd/
woman	/ˈwʊmən/
through	/θru/
us	/ʌs/
life	/laɪf/
child	/tʃaɪld/
work	/wɜrk/
down	/daʊn/
may	/meɪ/
after	/ˈæftər/
should	/ʃʊd/
call	/kɔl/
world	/wɜrld/
over	/ˈoʊvər/
school	/skul/
still	/stɪl/
try	/traɪ/
last	/læst/
ask	/æsk/
need	/nid/
too	/tu/
feel	/fil/
three	/θri/
state	/steɪt/
never	/ˈnɛvər/
become	/bɪˈkʌm/
between	/bɪˈtwin/
high	/haɪ/
something	/ˈsʌmθɪŋ/
really	/ˈriəli/
most	/moʊst/
another	/əˈnʌðər/
much	/mʌtʃ/
family	/ˈfæməli/
own	/oʊn/
leave	/liv/
put	/pʊt/
old	/oʊld/
while	/waɪl/
mean	/min/
keep	/kip/
student	/ˈstudənt/
why	/waɪ/
let	/lɛt/
great	/ɡreɪt/
same	/seɪm/
big	/bɪɡ/
group	/ɡrup/
begin	/bɪˈɡɪn/
seem	/sim/
