the	["the"]
be	["be"]
and	["and"]
of	["of"]
a	["a"]
in	["in"]
to	["to"]
have	["have"]
it	["it"]
i	["i"]
that	["that"]
for	["for"]
you	["you"]
he	["he"]
with	["with"]
on	["on"]
do	["do"]
say	["say"]
this	["this"]
they	["they"]
at	["at"]
but	["but"]
we	["we"]
his	["his"]
from	["from"]
not	["not"]
by	["by"]
she	["she"]
or	["or"]
as	["as"]
what	["what"]
go	["go"]
their	["their"]
can	["can"]
who	["who"]
get	["get"]
if	["if"]
would	["would"]
her	["her"]
all	["all"]
my	["my"]
make	["make"]
about	["a", "'bout"]
know	["know"]
will	["will"]
up	["up"]
one	["one"]
time	["time"]
there	["there"]
year	["year"]
so	["so"]
think	["think"]
when	["when"]
which	["which"]
them	["them"]
some	["some"]
me	["me"]
people	["'peo", "ple"]
take	["take"]
out	["out"]
into	["'in", "to"]
just	["just"]
see	["see"]
him	["him"]
your	["your"]
come	["come"]
could	["could"]
now	["now"]
than	["than"]
like	["like"]
other	["'oth", "er"]
how	["how"]
then	["then"]
its	["its"]
our	["our"]
two	["two"]
more	["more"]
these	["these"]
want	["want"]
way	["way"]
look	["look"]
first	["first"]
also	["'al", "so"]
new	["new"]
because	["be", "'cause"]
day	["day"]
use	["use"]
no	["no"]
man	["man"]
find	["find"]
here	["here"]
thing	["thing"]
give	["give"]
many	["'man", "y"]
well	["well"]
only	["'on", "ly"]
those	["those"]
tell	["tell"]
very	["'ver", "y"]
even	["'e", "ven"]
back	["back"]
any	["'an", "y"]
good	["good"]
woman	["'wom", "an"]
through	["through"]
us	["us"]
life	["life"]
child	["child"]
work	["work"]
down	["down"]
may	["may"]
after	["'af", "ter"]
should	["should"]
call	["call"]
world	["world"]
over	["'o", "ver"]
school	["school"]
still	["still"]
try	["try"]
last	["last"]
ask	["ask"]
need	["need"]
too	["too"]
feel	["feel"]
three	["three"]
state	["state"]
never	["'nev", "er"]
become	["be", "'come"]
between	["be", "'tween"]
high	["high"]
something	["'some", "thing"]
really	["'re", "al", "ly"]
most	["most"]
another	["an", "'oth", "er"]
much	["much"]
family	["'fam", "i", "ly"]
own	["own"]
leave	["leave"]
put	["put"]
old	["old"]
while	["while"]
mean	["mean"]
keep	["keep"]
student	["'stu", "dent"]
why	["why"]
let	["let"]
great	["great"]
same	["same"]
big	["big"]
group	["group"]
begin	["be", "'gin"]
seem	["seem"]
country	["'coun", "try"]
help	["help"]
talk	["talk"]
where	["where"]
turn	["turn"]
problem	["'prob", "lem"]
every	["'ev", "er", "y"]
start	["start"]
hand	["hand"]
might	["might"]
american	["a", "'mer", "i", "can"]
show	["show"]
part	["part"]
against	["a", "'gainst"]
place	["place"]
such	["such"]
again	["a", "'gain"]
few	["few"]
case	["case"]
week	["week"]
company	["'com", "pa", "ny"]
system	["'sys", "tem"]
each	["each"]
right	["right"]
program	["'pro", "gram"]
hear	["hear"]
question	["'ques", "tion"]
during	["'dur", "ing"]
play	["play"]
government	["'gov", "ern", "ment"]
run	["run"]
small	["small"]
number	["'num", "ber"]
off	["off"]
always	["'al", "ways"]
move	["move"]
night	["night"]
live	["live"]
point	["point"]
believe	["be", "'lieve"]
hold	["hold"]
today	["to", "'day"]
bring	["bring"]
happen	["'hap", "pen"]
next	["next"]
without	["with", "'out"]
before	["be", "'fore"]
large	["large"]
million	["'mil", "lion"]
must	["must"]
home	["home"]
under	["'un", "der"]
water	["'wa", "ter"]
room	["room"]
write	["write"]
mother	["'moth", "er"]
area	["'ar", "e", "a"]
national	["'nash", "o", "nal"]
money	["'mon", "ey"]
story	["'sto", "ry"]
young	["young"]
fact	["fact"]
month	["month"]
different	["'dif", "fer", "ent"]
lot	["lot"]
study	["'stud", "y"]
book	["book"]
eye	["eye"]
job	["job"]
word	["word"]
though	["though"]
business	["'biz", "ness"]
four	["four"]
issue	["'is", "sue"]
side	["side"]
kind	["kind"]
head	["head"]
far	["far"]
black	["black"]
long	["long"]
both	["both"]
little	["'lit", "tle"]
house	["house"]
yes	["yes"]
since	["since"]
provide	["pro", "'vide"]
service	["'ser", "vice"]
around	["a", "'round"]
friend	["friend"]
important	["im", "'por", "tant"]
father	["'fa", "ther"]
sit	["sit"]
away	["a", "'way"]
until	["un", "'til"]
power	["'pow", "er"]
hour	["hour"]
game	["game"]
often	["'of", "ten"]
yet	["yet"]
line	["line"]
political	["po", "'lit", "i", "cal"]
end	["end"]
among	["a", "'mong"]
ever	["'ev", "er"]
stand	["stand"]
bad	["bad"]
lose	["lose"]
however	["how", "'ev", "er"]
member	["'mem", "ber"]
pay	["pay"]
law	["law"]
meet	["meet"]
car	["car"]
city	["'cit", "y"]
almost	["'al", "most"]
include	["in", "'clude"]
continue	["con", "'tin", "ue"]
set	["set"]
later	["'la", "ter"]
community	["com", "'mu", "ni", "ty"]
name	["name"]
five	["five"]
once	["once"]
white	["white"]
least	["least"]
president	["'pres", "i", "dent"]
learn	["learn"]
real	["real"]
change	["change"]
team	["team"]
minute	["'min", "ute"]
best	["best"]
several	["'sev", "er", "al"]
idea	["i", "'de", "a"]
kid	["kid"]
body	["'bod", "y"]
information	["in", "for", "'ma", "tion"]
nothing	["'noth", "ing"]
ago	["a", "'go"]
lead	["lead"]
social	["'so", "cial"]
understand	["un", "der", "'stand"]
whether	["'wheth", "er"]
watch	["watch"]
together	["to", "'geth", "er"]
follow	["'fol", "low"]
parent	["'par", "ent"]
stop	["stop"]
face	["face"]
anything	["'an", "y", "thing"]
create	["cre", "'ate"]
public	["'pub", "lic"]
already	["al", "'read", "y"]
speak	["speak"]
others	["'oth", "ers"]
read	["read"]
level	["'lev", "el"]
allow	["al", "'low"]
add	["add"]
office	["'of", "fice"]
spend	["spend"]
door	["door"]
health	["health"]
person	["'per", "son"]
art	["art"]
sure	["sure"]
war	["war"]
history	["'his", "to", "ry"]
party	["'par", "ty"]
within	["with", "'in"]
grow	["grow"]
result	["re", "'sult"]
open	["'o", "pen"]
morning	["'mor", "ning"]
walk	["walk"]
reason	["'rea", "son"]
low	["low"]
win	["win"]
research	["re", "'search"]
girl	["girl"]
guy	["guy"]
early	["'ear", "ly"]
food	["food"]
himself	["him", "'self"]
moment	["'mo", "ment"]
air	["air"]
teacher	["'teach", "er"]
force	["force"]
offer	["'of", "fer"]
enough	["e", "'nough"]
education	["ed", "u", "'ca", "tion"]
across	["a", "'cross"]
although	["al", "'though"]
remember	["re", "'mem", "ber"]
foot	["foot"]
second	["'sec", "ond"]
boy	["boy"]
maybe	["'may", "be"]
toward	["to", "'ward"]
able	["'a", "ble"]
age	["age"]
policy	["'pol", "i", "cy"]
everything	["'ev", "ery", "thing"]
love	["love"]
process	["'pro", "cess"]
music	["'mu", "sic"]
including	["in", "'clud", "ing"]
consider	["con", "'sid", "er"]
appear	["ap", "'pear"]
actually	["'ac", "tu", "al", "ly"]
buy	["buy"]
probably	["'prob", "a", "bly"]
human	["'hu", "man"]
wait	["wait"]
serve	["serve"]
market	["'mar", "ket"]
die	["die"]
send	["send"]
expect	["ex", "'pect"]
sense	["sense"]
build	["build"]
stay	["stay"]
fall	["fall"]
oh	["oh"]
nation	["'na", "tion"]
plan	["plan"]
cut	["cut"]
college	["'col", "lege"]
interest	["'in", "ter", "est"]
death	["death"]
course	["course"]
someone	["'some", "one"]
experience	["ex", "'pe", "ri", "ence"]
behind	["be", "'hind"]
reach	["reach"]
local	["'lo", "cal"]
six	["six"]
kill	["kill"]
remain	["re", "'main"]
effect	["e", "'ffect"]
yeah	["yeah"]
suggest	["sug", "'gest"]
class	["class"]
control	["con", "'trol"]
raise	["raise"]
care	["care"]
perhaps	["per", "'haps"]
late	["late"]
hard	["hard"]
field	["field"]
else	["else"]
pass	["pass"]
former	["'for", "mer"]
sell	["sell"]
major	["'ma", "jor"]
sometimes	["'some", "times"]
require	["re", "'quire"]
along	["a", "'long"]
development	["de", "'vel", "op", "ment"]
themselves	["them", "'selves"]
report	["re", "'port"]
role	["role"]
better	["'bet", "ter"]
economic	["e", "co", "'nom", "ic"]
effort	["'ef", "fort"]
decide	["de", "'cide"]
rate	["rate"]
strong	["strong"]
possible	["'pos", "si", "ble"]
heart	["heart"]
drug	["drug"]
leader	["'lead", "er"]
light	["light"]
voice	["voice"]
wife	["wife"]
whole	["whole"]
police	["po", "'lice"]
mind	["mind"]
finally	["'fi", "nal", "ly"]
pull	["pull"]
return	["re", "'turn"]
free	["free"]
military	["'mil", "i", "tar", "y"]
price	["price"]
less	["less"]
according	["ac", "'cord", "ing"]
decision	["de", "'ci", "sion"]
explain	["ex", "'plain"]
son	["son"]
hope	["hope"]
develop	["de", "'vel", "op"]
view	["view"]
relationship	["re", "'la", "tion", "ship"]
carry	["'car", "ry"]
town	["town"]
road	["road"]
drive	["drive"]
arm	["arm"]
true	["true"]
federal	["'fed", "er", "al"]
break	["break"]
difference	["'dif", "fer", "ence"]
receive	["re", "'ceive"]
thank	["thank"]
value	["'val", "ue"]
international	["in", "ter", "'nash", "o", "nal"]
building	["'build", "ing"]
action	["'ac", "tion"]
full	["full"]
model	["'mod", "el"]
join	["join"]
season	["'sea", "son"]
society	["so", "'ci", "e", "ty"]
tax	["tax"]
director	["di", "'rec", "tor"]
position	["po", "'zi", "tion"]
player	["'play", "er"]
agree	["a", "'gree"]
especially	["es", "'pe", "cial", "ly"]
record	["'rec", "ord"]
pick	["pick"]
wear	["wear"]
paper	["'pa", "per"]
special	["'spe", "cial"]
space	["space"]
ground	["ground"]
form	["form"]
support	["sup", "'port"]
event	["e", "'vent"]
official	["o", "'fi", "cial"]
whose	["whose"]
matter	["'mat", "ter"]
everyone	["'ev", "ery", "one"]
center	["'cen", "ter"]
couple	["'coup", "le"]
site	["site"]
project	["'proj", "ect"]
hit	["hit"]
base	["base"]
activity	["ac", "'tiv", "i", "ty"]
star	["star"]
table	["'ta", "ble"]
court	["court"]
produce	["pro", "'duce"]
eat	["eat"]
teach	["teach"]
oil	["oil"]
half	["half"]
situation	["si", "tu", "'a", "tion"]
easy	["'ea", "sy"]
cost	["cost"]
industry	["'in", "dus", "try"]
figure	["'fig", "ure"]
street	["street"]
image	["'im", "age"]
itself	["it", "'self"]
phone	["phone"]
either	["'ei", "ther"]
data	["'da", "ta"]
cover	["'cov", "er"]
quite	["quite"]
picture	["'pic", "ture"]
clear	["clear"]
practice	["'prac", "tice"]
piece	["piece"]
land	["land"]
recent	["'re", "cent"]
describe	["de", "'scribe"]
product	["'prod", "uct"]
doctor	["'doc", "tor"]
wall	["wall"]
patient	["'pa", "tient"]
worker	["'work", "er"]
news	["news"]
test	["test"]
movie	["'moo", "vie"]
certain	["'cer", "tain"]
north	["north"]
personal	["'per", "son", "al"]
simply	["'sim", "ply"]
third	["third"]
technology	["tec", "'nol", "o", "gy"]
catch	["catch"]
step	["step"]
baby	["'ba", "by"]
computer	["com", "'pu", "ter"]
type	["type"]
attention	["at", "'ten", "tion"]
draw	["draw"]
film	["film"]
republican	["re", "pub", "'li", "can"]
organization	["or", "gan", "i", "'za", "tion"]
tree	["tree"]
source	["source"]
red	["red"]
nearly	["'near", "ly"]
choose	["choose"]
cause	["cause"]
hair	["hair"]
century	["'cen", "tu", "ry"]
evidence	["'ev", "i", "dence"]
window	["'win", "dow"]
difficult	["'dif", "fi", "cult"]
listen	["'lis", "ten"]
soon	["soon"]
culture	["'cul", "ture"]
billion	["'bil", "lion"]
chance	["chance"]
brother	["'broth", "er"]
energy	["'en", "er", "gy"]
realize	["'re", "al", "ize"]
period	["'pe", "ri", "od"]
summer	["'sum", "mer"]
hundred	["'hun", "dred"]
available	["a", "'vail", "a", "ble"]
plant	["plant"]
likely	["'like", "ly"]
opportunity	["op", "por", "'tu", "ni", "ty"]
term	["term"]
short	["short"]
letter	["'let", "ter"]
condition	["con", "'di", "tion"]
choice	["choice"]
single	["'sin", "gle"]
rule	["rule"]
daughter	["'daugh", "ter"]
administration	["ad", "min", "is", "'tra", "tion"]
south	["south"]
husband	["'hus", "band"]
congress	["'con", "gress"]
floor	["floor"]
campaign	["cam", "'paign"]
material	["ma", "'te", "ri", "al"]
population	["pop", "u", "'la", "tion"]
economy	["e", "'con", "o", "my"]
medical	["'med", "i", "cal"]
hospital	["'hos", "pi", "tal"]
church	["church"]
close	["close"]
risk	["risk"]
thousand	["'thou", "sand"]
current	["'cur", "rent"]
fire	["fire"]
future	["'fu", "ture"]
wrong	["wrong"]
involve	["in", "'volve"]
defense	["de", "'fense"]
behavior	["be", "'hav", "ior"]
anyone	["'an", "y", "one"]
increase	["in", "'crease"]
security	["se", "'cu", "ri", "ty"]
myself	["my", "'self"]
bank	["bank"]
certainly	["'cer", "tain", "ly"]
west	["west"]
sport	["sport"]
board	["board"]
seek	["seek"]
per	["per"]
subject	["'sub", "ject"]
officer	["'of", "fi", "cer"]
private	["'pri", "vate"]
rest	["rest"]
deal	["deal"]
performance	["per", "'form", "ance"]
fight	["fight"]
throw	["throw"]
top	["top"]
quickly	["'quick", "ly"]
past	["past"]
goal	["goal"]
bed	["bed"]
order	["'or", "der"]
author	["'au", "thor"]
fill	["fill"]
represent	["rep", "re", "'sent"]
focus	["'fo", "cus"]
foreign	["'for", "eign"]
drop	["drop"]
blood	["blood"]
upon	["u", "'pon"]
agency	["'a", "gen", "cy"]
push	["push"]
nature	["'na", "ture"]
color	["'col", "or"]
recently	["'re", "cent", "ly"]
store	["store"]
reduce	["re", "'duce"]
sound	["sound"]
note	["note"]
fine	["fine"]
near	["near"]
movement	["'move", "ment"]
page	["page"]
enter	["'en", "ter"]
common	["'com", "mon"]
share	["share"]
poor	["poor"]
natural	["'nat", "u", "ral"]
race	["race"]
concern	["con", "'cern"]
series	["'se", "ries"]
significant	["sig", "'nif", "i", "cant"]
similar	["'sim", "i", "lar"]
hot	["hot"]
language	["'lan", "guage"]
usually	["'u", "su", "al", "ly"]
response	["re", "'sponse"]
dead	["dead"]
rise	["rise"]
animal	["'an", "i", "mal"]
factor	["'fac", "tor"]
decade	["'dec", "ade"]
article	["'ar", "ti", "cle"]
shoot	["shoot"]
east	["east"]
seven	["'sev", "en"]
save	["save"]
artist	["'ar", "tist"]
scene	["scene"]
eight	["eight"]
stock	["stock"]
career	["ca", "'reer"]
despite	["de", "'spite"]
central	["'cen", "tral"]
thus	["thus"]
treatment	["'treat", "ment"]
beyond	["be", "'yond"]
happy	["'hap", "py"]
exactly	["ex", "'act", "ly"]
protect	["pro", "'tect"]
approach	["ap", "'proach"]
lie	["lie"]
size	["size"]
dog	["dog"]
fund	["fund"]
serious	["'se", "ri", "ous"]
occur	["oc", "'cur"]
media	["'me", "di", "a"]
ready	["'read", "y"]
sign	["sign"]
thought	["thought"]
list	["list"]
individual	["in", "di", "'vid", "u", "al"]
simple	["'sim", "ple"]
quality	["'qual", "i", "ty"]
pressure	["'pres", "sure"]
accept	["ac", "'cept"]
answer	["'an", "swer"]
resource	["re", "'source"]
identify	["i", "den", "'ti", "fy"]
left	["left"]
meeting	["'meet", "ing"]
determine	["de", "'ter", "mine"]
prepare	["pre", "'pare"]
disease	["dis", "'ease"]
whatever	["what", "'ev", "er"]
success	["suc", "'cess"]
argue	["'ar", "gue"]
recognize	["'rec", "og", "nize"]
cup	["cup"]
